country,Number_Days_Vaccinating,total_vaccinations,people_vaccinated,people_fully_vaccinated,Promedio_daily_vaccinations_raw,Promedio_daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Nepal,26,402264,0,0,0,15890.03846,1.38,0,0,523,Oxford/AstraZeneca
Netherlands,57,1887726,1394603,493123,0,30276.40351,11.02,8.14,2.88,2233,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
New Zealand,28,27000,27000,0,3.571428571,835.4642857,0.56,0.56,0,267,Pfizer/BioNTech
Nigeria,12,8000,8000,0,0,666.4166667,0,0,0,4,Oxford/AstraZeneca
North Macedonia,29,5300,5300,0,0,182.4827586,0.25,0.25,0,91,Pfizer/BioNTech
Northern Cyprus,9,11000,0,0,0,982.8888889,2.88,0,0,3739,"Pfizer/BioNTech, Sinovac"
Northern Ireland,96,726290,655581,70709,6607.666667,7264.729167,38.35,34.62,3.73,4697,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,82,758514,497011,261503,9250.109756,8797.329268,13.99,9.17,4.82,1653,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,80,109844,90825,19019,813.5125,1336.4375,2.15,1.78,0.37,327,"Oxford/AstraZeneca, Pfizer/BioNTech"
Pakistan,41,350000,0,0,0,7820.195122,0.16,0,0,60,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Panama,59,287086,0,0,4513.525424,4519.372881,6.65,0,0,1779,Pfizer/BioNTech
Paraguay,26,13654,0,0,519,474.0384615,0.19,0,0,179,Sputnik V
Peru,38,623800,436187,187613,16314.86842,16200.13158,1.89,1.32,0.57,648,Sinopharm/Beijing
Philippines,16,215997,215997,0,920.875,9985.5,0.2,0.2,0,224,Sinovac
Poland,81,4893320,3162971,1730349,39767.16049,57410.7284,12.93,8.36,4.57,1895,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,83,1280409,875490,404919,15272.84337,14596.03614,12.56,8.59,3.97,2333,"Moderna, Pfizer/BioNTech"
Qatar,85,510000,0,0,0,5282.894118,17.7,0,0,7322,Pfizer/BioNTech
Romania,82,2376330,1614577,761753,28967.86585,27095.03659,12.35,8.39,3.96,2648,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,95,8185944,5544777,2641167,29766.92632,82164.64211,5.61,3.8,1.81,722,"EpiVacCorona, Sputnik V"
Rwanda,32,323744,323744,0,7771.5,9485.8125,2.5,2.5,0,935,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Saint Helena,41,3107,3107,0,0,73.17073171,51.18,51.18,0,12354,Oxford/AstraZeneca
Saint Kitts and Nevis,23,6903,6903,0,0,300.3478261,12.98,12.98,0,5903,Oxford/AstraZeneca
Saint Lucia,25,17389,17389,0,0,481.92,9.47,9.47,0,10412,Oxford/AstraZeneca
Saint Vincent and the Grenadines,1,8952,0,0,0,0,8.07,0,0,0,Oxford/AstraZeneca
San Marino,20,7328,7299,29,334.6,311.75,21.59,21.51,0.09,12817,Sputnik V
Saudi Arabia,73,2748646,0,0,25644.16438,33158.9589,7.9,0,0,3042,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,96,2267895,2066460,201435,21893.33333,22165.20833,41.51,37.82,3.69,7161,"Oxford/AstraZeneca, Pfizer/BioNTech"
